model,rodzina,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std
dt_gleb_5,DecisionTree,0.5660461196659772,0.006886380925783518,0.27376550023126117,0.011454981823039645
dt_gleb_15,DecisionTree,0.5940473454378303,0.01605743857304711,0.3053020386828614,0.02049871376334262
dt_gleb_25,DecisionTree,0.5625373477361526,0.01830279902401671,0.27172997748496963,0.012920590521274927
knn_k5,kNN,0.5520608289282156,0.024142129196961768,0.26208491193418604,0.021449769863862232
knn_k11,kNN,0.6386769325059373,0.022448690999835205,0.34214634417355116,0.02872307954406784
knn_k21,kNN,0.573948517582165,0.021830068947589522,0.26251797313748304,0.012865497999030808
rf_50,RandomForest,0.6483069026277485,0.022697480617498607,0.3215599257664072,0.03347452739009293
rf_100,RandomForest,0.6570673408411859,0.026283529067523757,0.34459309135873417,0.033588018617304594
rf_200,RandomForest,0.6719413161725274,0.03260325683478969,0.35304560085053993,0.037455258100055955
majority_voting_9,Ensemble,0.6596606144181415,0.01723764821894776,0.3283059181893763,0.02856660355305549
